,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
1296,COL PEDAG NASEM                                                                                     ,KR 94 B 78 A 09,"KR 94 B 78 A 09,Bogota,Colombia","CARRERA 94 B 78 A 09,Bogota,Colombia","(4.643756799999999, -74.1746908)"
1297,COLEGIO GUILLERMO LEON VALENCIA  (IED),KR 93 A 75 B 80,"KR 93 A 75 B 80,Bogota,Colombia","CARRERA 93 A 75 B 80,Bogota,Colombia","(4.7043308, -74.1083276)"
1298,COLEGIO VISTA BELLA (IED),CL 166 BIS 52 A 43,"CL 166 BIS 52 A 43,Bogota,Colombia","CALLE 166 BIS 52 A 43,Bogota,Colombia","(4.7485643, -74.0538462)"
1299,COL PIO X                                                                                           ,IND CR 23 NO.76-33/43,"IND CR 23 NO.76-33/43,Bogota,Colombia","IND CARRERA 23 NO.76-33/43,Bogota,Colombia","(4.6665284, -74.0640502)"
1300,JARD INF MELANIE KLEIN                                                                              ,CL 7 A BIS 72 B 30,"CL 7 A BIS 72 B 30,Bogota,Colombia","CALLE 7 A BIS 72 B 30,Bogota,Colombia","(4.6339507, -74.1392493)"
1301,PREESC LA RONDA DE LOS NIÑOS                                                                        ,KR 40 D 59 05,"KR 40 D 59 05,Bogota,Colombia","CARRERA 40 D 59 05,Bogota,Colombia","(4.609936, -74.1146457)"
1302,COL INTEGRAL MANANTIAL                                                                              ,CLL. 42B SUR NO 20- 54,"CLL. 42B SUR NO 20- 54,Bogota,Colombia","CLL. 42B SUR NO 20- 54,Bogota,Colombia","(4.5943285, -74.1312768)"
1303,LICEO INFANTIL MOVIMIENTOS MAGICOS,CL 64 K 83 24,"CL 64 K 83 24,Bogota,Colombia","CALLE 64 K 83 24,Bogota,Colombia","(4.6868849, -74.1096519)"
1304,INST FERRINI SEDE FONTIBON                                                                          ,KR 99 25 18,"KR 99 25 18,Bogota,Colombia","CARRERA 99 25 18,Bogota,Colombia","(4.6832508, -74.1311473)"
1305,COLEGIO GERARDO PAREDES (IED),DG 125 B 94 A 65,"DG 125 B 94 A 65,Bogota,Colombia","DIAGONAL 125 B 94 A 65,Bogota,Colombia","(4.710988599999999, -74.072092)"
1306,JARD INF DE APRESTAMIENTO ESCOLAR ABC DE LA ALEGRIA                                                 ,CL 8 SUR 73 A 24,"CL 8 SUR 73 A 24,Bogota,Colombia","CALLE 8 SUR 73 A 24,Bogota,Colombia","(4.5837753, -74.08829949999999)"
1307,COLEGIO FRIEDRICH NAUMANN (IED),AK 7 171 B 26,"AK 7 171 B 26,Bogota,Colombia","AK 7 171 B 26,Bogota,Colombia","(4.7492446, -74.0230924)"
1308,COL GUSTAVO ROJAS PINILLA                                                                           ,AV CARACAS 3 81 SUR,"AV CARACAS 3 81 SUR,Bogota,Colombia","AVENIDA CARACAS 3 81 SUR,Bogota,Colombia","(4.5952682, -74.0859495)"
1309,GIMN ESPARTANO                                                                                      ,KR 20 D 66 34 SUR,"KR 20 D 66 34 SUR,Bogota,Colombia","CARRERA 20 D 66 34 SUR,Bogota,Colombia","(4.5635538, -74.14837179999999)"
1310,COL EMMANUEL D ALZON                                                                                ,TV 56 114 50,"TV 56 114 50,Bogota,Colombia","TV 56 114 50,Bogota,Colombia","(4.6978829, -74.0674434)"
1311,LIC JULIO CESAR GARCIA                                                                              ,CL 12 3 50,"CL 12 3 50,Bogota,Colombia","CALLE 12 3 50,Bogota,Colombia","(4.5971604, -74.0715872)"
1312,COLEGIO DIOS ES AMOR LUCERO ALTO,KR 18 M 67 A 47 SUR,"KR 18 M 67 A 47 SUR,Bogota,Colombia","CARRERA 18 M 67 A 47 SUR,Bogota,Colombia","(4.5367019, -74.1490099)"
1313,COLEGIO RUR PASQUILLA (IED),KM 5 VIA OLARTE,"KM 5 VIA OLARTE,Bogota,Colombia","KM 5 VIA OLARTE,Bogota,Colombia","(4.675584600000001, -74.0211485)"
1314,GIMN ANTONIO NARIÑO                                                                                 ,AV LAS AMERICAS 33 50,"AV LAS AMERICAS 33 50,Bogota,Colombia","AVENIDA LAS AMERICAS 33 50,Bogota,Colombia","(4.6302914, -74.133439)"
1315,COL SANTA ISABEL DEL VIRREY                                                                         ,KR 2 A ESTE 93 B 75 SUR,"KR 2 A ESTE 93 B 75 SUR,Bogota,Colombia","CARRERA 2 A ESTE 93 B 75 SUR,Bogota,Colombia","(4.5017841, -74.11306499999999)"
1316,COLEGIO CANADA (IED),CL 76 SUR 24 A 11,"CL 76 SUR 24 A 11,Bogota,Colombia","CALLE 76 SUR 24 A 11,Bogota,Colombia","(4.5411054, -74.1546191)"
1317,JARD INF UNIVERSIDAD CENTRAL                                                                        ,CL 21 3 60,"CL 21 3 60,Bogota,Colombia","CALLE 21 3 60,Bogota,Colombia","(4.605220099999999, -74.0679066)"
1318,COLEGIO TOMAS CIPRIANO DE MOSQUERA (IED),TV 113 66 95,"TV 113 66 95,Bogota,Colombia","TV 113 66 95,Bogota,Colombia","(4.708044, -74.13483649999999)"
1319,COLEGIO EXTERNADO BOLIVARIANO,CL 72 106 A 24,"CL 72 106 A 24,Bogota,Colombia","CALLE 72 106 A 24,Bogota,Colombia","(4.7086264, -74.1224381)"
1320,LIC DEL EJERCITO PATRIA SECTOR NORTE A (LICEO PATRIA)                                               ,CL 106 9 13,"CL 106 9 13,Bogota,Colombia","CALLE 106 9 13,Bogota,Colombia","(4.6948036, -74.0624438)"
1321,JARD INF MAMA ISABEL                                                                                ,KR 12 142 32,"KR 12 142 32,Bogota,Colombia","CARRERA 12 142 32,Bogota,Colombia","(4.7223606, -74.03627440000001)"
1322,INST SANTIAGO APOSTOL                                                                               ,KR 77 14 52,"KR 77 14 52,Bogota,Colombia","CARRERA 77 14 52,Bogota,Colombia","(4.696488200000001, -74.0951614)"
1323,LIC JUAN JOSE RONDON                                                                                ,CLL. 72A NO.113A-13,"CLL. 72A NO.113A-13,Bogota,Colombia","CLL. 72A NO.113A-13,Bogota,Colombia","(4.6875568, -74.0946221)"
1324,GIMN CAMPESTRE LA SABANA                                                                            ,CL 64 A 81 A 61,"CL 64 A 81 A 61,Bogota,Colombia","CALLE 64 A 81 A 61,Bogota,Colombia","(4.683337799999999, -74.1105905)"
1325,JARD PSICOPEDAG PARQUE DE LAS VOCALES                                                               ,CL 147 A 45 94,"CL 147 A 45 94,Bogota,Colombia","CALLE 147 A 45 94,Bogota,Colombia","(4.730934599999999, -74.05163250000001)"
1326,SESAMO NIÑOS PREESCOLAR,CR. 6 NO.77-38,"CR. 6 NO.77-38,Bogota,Colombia","CR. 6 NO.77-38,Bogota,Colombia","(4.6592115, -74.0514673)"
1327,LIC DE LONDRES                                                                                      ,CLL. 145 NO. 57-79,"CLL. 145 NO. 57-79,Bogota,Colombia","CLL. 145 NO. 57-79,Bogota,Colombia","(4.7255161, -74.0399497)"
1328,COL DE NSTRA SRA DEL PILAR (CHAPINERO)                                                              ,CL 62 27 A 12,"CL 62 27 A 12,Bogota,Colombia","CALLE 62 27 A 12,Bogota,Colombia","(4.650754, -74.07522019999999)"
1329,GIMN SAN BARTOLOME                                                                                  ,KR 80 36 21,"KR 80 36 21,Bogota,Colombia","CARRERA 80 36 21,Bogota,Colombia","(4.6053396, -74.1946478)"
1330,COL MERCEDARIO SAN PEDRO NOLASCO                                                                    ,CL 68 18 14,"CL 68 18 14,Bogota,Colombia","CALLE 68 18 14,Bogota,Colombia","(4.6567798, -74.0661521)"
1331,COL MODERNO AMERICANO                                                                               ,KR 15 69 30,"KR 15 69 30,Bogota,Colombia","CARRERA 15 69 30,Bogota,Colombia","(4.6568813, -74.0637667)"
1332,JARD INF U R EL GUALI                                                                               ,AC 64 C 68 B 98,"AC 64 C 68 B 98,Bogota,Colombia","AC 64 C 68 B 98,Bogota,Colombia","(4.6712586, -74.0935792)"
1333,LICEO PSICOPEDAGÓGICO DECROLY,KR 100 73 56,"KR 100 73 56,Bogota,Colombia","CARRERA 100 73 56,Bogota,Colombia","(4.705277, -74.11503789999999)"
1334,COL INTERNACIONAL DE BOGOTA                                                                         ,KR 49 202 85,"KR 49 202 85,Bogota,Colombia","CARRERA 49 202 85,Bogota,Colombia","(4.7150233, -74.0561363)"
1335,COLEGIO JOSE JAIME ROJAS (IED),CL 77 A SUR 18 M 45,"CL 77 A SUR 18 M 45,Bogota,Colombia","CALLE 77 A SUR 18 M 45,Bogota,Colombia","(4.5399764, -74.1505542)"
1336,COLEGIO FORMARTE,CL 52 22 30,"CL 52 22 30,Bogota,Colombia","CALLE 52 22 30,Bogota,Colombia","(4.640789, -74.0730863)"
1337,COLEGIO RUR CHIZACA (CED),KM 24 VIA SAN JUAN DE SUMAPAZ,"KM 24 VIA SAN JUAN DE SUMAPAZ,Bogota,Colombia","KM 24 VIA SAN JUAN DE SUMAPAZ,Bogota,Colombia","(4.02945, -74.31407999999999)"
1338,COL PARROQ SAN JUAN BAUTISTA DE LA SALLE                                                            ,CL 22 SUR 10 A 04,"CL 22 SUR 10 A 04,Bogota,Colombia","CALLE 22 SUR 10 A 04,Bogota,Colombia","(4.576813899999999, -74.0955772)"
1339,INST SAN BERNARDO DE LA SALLE                                                                       ,CL 2 12 39,"CL 2 12 39,Bogota,Colombia","CALLE 2 12 39,Bogota,Colombia","(4.5925078, -74.0855084)"
1340,CENT EDUC MI TALLER CREATIVO NUEVAS ESPIGAS                                                         ,KR 1 B ESTE 49 B 20 SUR,"KR 1 B ESTE 49 B 20 SUR,Bogota,Colombia","CARRERA 1 B ESTE 49 B 20 SUR,Bogota,Colombia","(4.5445671, -74.10643859999999)"
1341,COL TRIANGULO RESTREPO,CL 22 SUR 16 69,"CL 22 SUR 16 69,Bogota,Colombia","CALLE 22 SUR 16 69,Bogota,Colombia","(4.5823953, -74.1034596)"
1342,COLEGIO ESTRELLA DEL SUR (IED),CL 17 P 72 28 SUR,"CL 17 P 72 28 SUR,Bogota,Colombia","CALLE 17 P 72 28 SUR,Bogota,Colombia","(4.6063896, -74.1274143)"
1343,JARD PSICOPEDAG DINNY LENNY                                                                         ,CL 21 SUR 68 F 40,"CL 21 SUR 68 F 40,Bogota,Colombia","CALLE 21 SUR 68 F 40,Bogota,Colombia","(4.6130824, -74.12962759999999)"
1344,JARD BILING NUESTRA CREATIVIDAD                                                                     ,KR 18 55 27,"KR 18 55 27,Bogota,Colombia","CARRERA 18 55 27,Bogota,Colombia","(4.5653808, -74.1311644)"
1345,JARD PEDAG RAFAEL POMBO                                                                             ,KR 26 A 40 40,"KR 26 A 40 40,Bogota,Colombia","CARRERA 26 A 40 40,Bogota,Colombia","(4.6308976, -74.07741030000001)"
1346,COL COLOMBO BRIGHTON,CL 165 B 56 A 49,"CL 165 B 56 A 49,Bogota,Colombia","CALLE 165 B 56 A 49,Bogota,Colombia","(4.748175199999999, -74.0584277)"
1347,COLEGIO LA ARABIA (IED),KR 18 H 81 D 69 SUR IN 1,"KR 18 H 81 D 69 SUR IN 1,Bogota,Colombia","CARRERA 18 H 81 D 69 SUR IN 1,Bogota,Colombia","(4.548902, -74.1459766)"
1348,LIC  ROZFORD                                                                                        ,CL 33 A SUR 74 A 14,"CL 33 A SUR 74 A 14,Bogota,Colombia","CALLE 33 A SUR 74 A 14,Bogota,Colombia","(4.6233449, -74.14626899999999)"
1349,COLEGIO NICOLAS BUENAVENTURA (ANTES CHORRILLOS) (IED),KM. 7 CARRET. SUBA COTA,"KM. 7 CARRET. SUBA COTA,Bogota,Colombia","KM. 7 CARRET. SUBA COTA,Bogota,Colombia","(4.7791526, -74.0874803)"
1350,COL PSICOPEDAG EL ARTE DEL SABER                                                                    ,KR 109 A 64 31,"KR 109 A 64 31,Bogota,Colombia","CARRERA 109 A 64 31,Bogota,Colombia","(4.7004858, -74.13041369999999)"
1351,COL SAN JORGE DE INGLATERRA                                                                         ,KR 92 156 88,"KR 92 156 88,Bogota,Colombia","CARRERA 92 156 88,Bogota,Colombia","(4.7532743, -74.08106649999999)"
1352,GIMN ARTISTICO SUBA                                                                                 ,KR 104 140 05,"KR 104 140 05,Bogota,Colombia","CARRERA 104 140 05,Bogota,Colombia","(4.743040100000001, -74.0985887)"
1353,INST ANDRE MICHELIN                                                                                 ,AV 1 MAYO 10 A 09,"AV 1 MAYO 10 A 09,Bogota,Colombia","AVENIDA 1 MAYO 10 A 09,Bogota,Colombia","(4.5767089, -74.095647)"
1354,COL MONTESSORI DE NORMANDIA                                                                         ,KR 76 B 52 A 80,"KR 76 B 52 A 80,Bogota,Colombia","CARRERA 76 B 52 A 80,Bogota,Colombia","(4.5791877, -74.1779825)"
1355,COL PHILLIPPE COUSTEAU                                                                              ,KR 112 C 78 B 25,"KR 112 C 78 B 25,Bogota,Colombia","CARRERA 112 C 78 B 25,Bogota,Colombia","(4.7184134, -74.12203889999999)"
1356,TALLER INF CREATIVO                                                                                 ,CL 2 27 A 15,"CL 2 27 A 15,Bogota,Colombia","CALLE 2 27 A 15,Bogota,Colombia","(4.710988599999999, -74.072092)"
1357,LIC INF JUGUEMOS APRENDIENDO                                                                        ,KR 37 57 44,"KR 37 57 44,Bogota,Colombia","CARRERA 37 57 44,Bogota,Colombia","(4.6471752, -74.0817522)"
1358,COL MI PRIMERA FORMACION                                                                            ,CL 68 B 60 24,"CL 68 B 60 24,Bogota,Colombia","CALLE 68 B 60 24,Bogota,Colombia","(4.590684299999999, -74.1499889)"
1359,JARD INF MIS AMIGOS Y YO                                                                            ,CLL. 129 NO.100-29,"CLL. 129 NO.100-29,Bogota,Colombia","CLL. 129 NO.100-29,Bogota,Colombia","(4.7286484, -74.0982088)"
1360,INST IDEOLOGICO CREATIVO                                                                            ,CL 131 100 A 35,"CL 131 100 A 35,Bogota,Colombia","CALLE 131 100 A 35,Bogota,Colombia","(4.7325539, -74.0964692)"
1361,PREESC MC MILLAN LTDA                                                                               ,CL 127 B 20 56,"CL 127 B 20 56,Bogota,Colombia","CALLE 127 B 20 56,Bogota,Colombia","(4.708788, -74.0506651)"
1362,CENTRO EDUCATIVO SAN PABLO CESP,CL 48 P 5 G 03 SUR,"CL 48 P 5 G 03 SUR,Bogota,Colombia","CALLE 48 P 5 G 03 SUR,Bogota,Colombia","(4.5545592, -74.1117233)"
1363,COL PRINCETON                                                                                       ,IND VIA SUBA - COTA 600 MTS VARIANTE A GUAYMARAL,"IND VIA SUBA - COTA 600 MTS VARIANTE A GUAYMARAL,Bogota,Colombia","IND VIA SUBA - COTA 600 MTS VARIANTE A GUAYMARAL,Bogota,Colombia","(4.7791526, -74.0874803)"
1364,GIMN INF BAUTISTA                                                                                   ,KR 60 38 69 SUR,"KR 60 38 69 SUR,Bogota,Colombia","CARRERA 60 38 69 SUR,Bogota,Colombia","(4.5253096, -74.1203726)"
1365,GIMN SEMILLITAS DEL SABER                                                                           ,CR. 66A NO.53-69,"CR. 66A NO.53-69,Bogota,Colombia","CR. 66A NO.53-69,Bogota,Colombia","(4.6342146, -74.11856209999999)"
1366,COL COOP DEL MAGISTERIO DE CUNDINAMARCA                                                             ,CL 16 BIS SUR 12 C 02,"CL 16 BIS SUR 12 C 02,Bogota,Colombia","CALLE 16 BIS SUR 12 C 02,Bogota,Colombia","(4.5822579, -74.09653569999999)"
1367,GIMNASIO CAMPESTRE STEPHEN HAWKING,KR 68 173 A 50,"KR 68 173 A 50,Bogota,Colombia","CARRERA 68 173 A 50,Bogota,Colombia","(4.7610199, -74.0609247)"
1368,COLEGIO JOSE ASUNCION SILVA (IED),KR 92 89 79,"KR 92 89 79,Bogota,Colombia","CARRERA 92 89 79,Bogota,Colombia","(4.6513214, -74.159313)"
1369,LIC SENDERO DEL SABER                                                                               ,KR 2 A ESTE 27 A 40 SUR,"KR 2 A ESTE 27 A 40 SUR,Bogota,Colombia","CARRERA 2 A ESTE 27 A 40 SUR,Bogota,Colombia","(4.5646084, -74.0887805)"
1370,JARD Y GUARD PIQUIN Y COCOL                                                                         ,CLL. 101 NO.44-90,"CLL. 101 NO.44-90,Bogota,Colombia","CLL. 101 NO.44-90,Bogota,Colombia","(4.6877135, -74.057619)"
1371,COL YERMO Y PARRES                                                                                  ,CL 76 81 33,"CL 76 81 33,Bogota,Colombia","CALLE 76 81 33,Bogota,Colombia","(4.6978141, -74.0998391)"
1372,LATINOAMERICANA DE SISTEMAS Y EDUCACION LASIT,TV 126 B 132 D 46,"TV 126 B 132 D 46,Bogota,Colombia","TV 126 B 132 D 46,Bogota,Colombia","(4.7417152, -74.11079889999999)"
1373,LICEO MAYOR DE PALERMO,KR 3 51 B 17 SUR,"KR 3 51 B 17 SUR,Bogota,Colombia","CARRERA 3 51 B 17 SUR,Bogota,Colombia","(4.710988599999999, -74.072092)"
1374,LIC BOSTON                                                                                          ,KR 80 156 70,"KR 80 156 70,Bogota,Colombia","CARRERA 80 156 70,Bogota,Colombia","(4.7504407, -74.0759705)"
1375,COL ROMULO GALLEGOS                                                                                 ,KR 17 D 64 B 31 SUR,"KR 17 D 64 B 31 SUR,Bogota,Colombia","CARRERA 17 D 64 B 31 SUR,Bogota,Colombia","(4.5535777, -74.1396171)"
1376,COLEGIO LA CONCEPCION (CED),IND TR. 100D NO.69-40 SUR,"IND TR. 100D NO.69-40 SUR,Bogota,Colombia","IND TR. 100D NO.69-40 SUR,Bogota,Colombia","(4.5517464, -74.0949347)"
1377,INST DE BTO INTEGRAL IDIPRON                                                                        ,IND PARQUE DISTRITAL LA FLORIDA COSTADO SUR OCCIDENTAL,"IND PARQUE DISTRITAL LA FLORIDA COSTADO SUR OCCIDENTAL,Bogota,Colombia","IND PARQUE DISTRITAL LA FLORIDA COSTADO SUR OCCIDENTAL,Bogota,Colombia","(10.9855679, -74.82037249999999)"
1378,COL LOS NOGALES                                                                                     ,CL 202 56 50,"CL 202 56 50,Bogota,Colombia","CALLE 202 56 50,Bogota,Colombia","(4.7818189, -74.06025)"
1379,PSICOPEDAG NUEVO HORIZONTE                                                                          ,CLL. 117C NO. 88C-52,"CLL. 117C NO. 88C-52,Bogota,Colombia","CLL. 117C NO. 88C-52,Bogota,Colombia","(4.699064799999999, -74.0506236)"
1380,LIC NSTRA SRA DE ARANZAZU                                                                           ,KR 107 20 B 21,"KR 107 20 B 21,Bogota,Colombia","CARRERA 107 20 B 21,Bogota,Colombia","(4.6800821, -74.14633359999999)"
1381,JARD INF Y GUARD BETANIA                                                                            ,KR 7 A 11 49 SUR,"KR 7 A 11 49 SUR,Bogota,Colombia","CARRERA 7 A 11 49 SUR,Bogota,Colombia","(4.5822727, -74.0853731)"
1382,PREESC CREATIVOS REY Y SOL,CL 22 BIS 43 A 40,"CL 22 BIS 43 A 40,Bogota,Colombia","CALLE 22 BIS 43 A 40,Bogota,Colombia","(4.6313372, -74.0957892)"
1383,COL LUZ A LAS NACIONES                                                                              ,KR 74 48 94,"KR 74 48 94,Bogota,Colombia","CARRERA 74 48 94,Bogota,Colombia","(4.670871099999999, -74.1120392)"
1384,COL VILLA HERMOSA                                                                                   ,CL 36 B SUR 1 58,"CL 36 B SUR 1 58,Bogota,Colombia","CALLE 36 B SUR 1 58,Bogota,Colombia","(4.6433275, -74.1682112)"
1385,COL NUEVA COLOMBIA GRANDE                                                                           ,KR 89 73 F 54 SUR,"KR 89 73 F 54 SUR,Bogota,Colombia","CARRERA 89 73 F 54 SUR,Bogota,Colombia","(4.6989304, -74.1068847)"
1386,JARD INF MONACHINES                                                                                 ,KR 75 64 A 29,"KR 75 64 A 29,Bogota,Colombia","CARRERA 75 64 A 29,Bogota,Colombia","(4.6799377, -74.10609989999999)"
1387,INST INFANTIL Y JUVENIL                                                                             ,CL 22 A 96 I 06,"CL 22 A 96 I 06,Bogota,Colombia","CALLE 22 A 96 I 06,Bogota,Colombia","(4.673017499999999, -74.13654389999999)"
1388,LICEO INFANTIL MICHELIN,CLL 14 SUR NO. 68C-48,"CLL 14 SUR NO. 68C-48,Bogota,Colombia","CALLE 14 SUR NO. 68C-48,Bogota,Colombia","(4.615665799999999, -74.128224)"
1389,COL MI GALAXIA                                                                                      ,CR. 15 NO.31 F 03 SUR,"CR. 15 NO.31 F 03 SUR,Bogota,Colombia","CR. 15 NO.31 F 03 SUR,Bogota,Colombia","(4.5723836, -74.10741000000002)"
1390,COLEGIO FRANCISCO DE MIRANDA (IED),DG 41 SUR 73 A 80,"DG 41 SUR 73 A 80,Bogota,Colombia","DIAGONAL 41 SUR 73 A 80,Bogota,Colombia","(4.612528, -74.1539755)"
1391,INST SAN BASILIO                                                                                    ,DG 133 152 A 04,"DG 133 152 A 04,Bogota,Colombia","DIAGONAL 133 152 A 04,Bogota,Colombia","(4.7179013, -74.051628)"
1392,COLEGIO LOS PERIODISTAS (IED),IND TR. 78 NO.41C-14 SUR,"IND TR. 78 NO.41C-14 SUR,Bogota,Colombia","IND TR. 78 NO.41C-14 SUR,Bogota,Colombia","(4.562385799999999, -74.06834789999999)"
1393,JARDIN INFANTIL BURBUJAS DE ALEGRIA,CLL 38D SUR NO. 68A-62,"CLL 38D SUR NO. 68A-62,Bogota,Colombia","CALLE 38D SUR NO. 68A-62,Bogota,Colombia","(4.6014853, -74.1359473)"
1394,COL SAN CARLOS                                                                                      ,CL 192 9 45,"CL 192 9 45,Bogota,Colombia","CALLE 192 9 45,Bogota,Colombia","(4.7703036, -74.0359241)"
1395,GIMNASIO TALENTOS,CL 1 31 C 30,"CL 1 31 C 30,Bogota,Colombia","CALLE 1 31 C 30,Bogota,Colombia","(4.5997919, -74.1076853)"
1396,COL FUND HOGAR SAN MAURICIO                                                                         ,KR 80 172 A 90,"KR 80 172 A 90,Bogota,Colombia","CARRERA 80 172 A 90,Bogota,Colombia","(4.7655443, -74.06864089999999)"
1397,LIC LATINOAMERICANO DEL SUR,CL 80 SUR 1 H 13,"CL 80 SUR 1 H 13,Bogota,Colombia","CALLE 80 SUR 1 H 13,Bogota,Colombia","(4.5100568, -74.1052448)"
1398,COL CALDAS HOLGUIN                                                                                  ,CR. 64A NO.2B-21,"CR. 64A NO.2B-21,Bogota,Colombia","CR. 64A NO.2B-21,Bogota,Colombia","(4.621059, -74.1231664)"
1399,NUEVO LIC PEDAG CALIDAD HUMANA                                                                      ,CR. 1G NO.48V-27 SUR,"CR. 1G NO.48V-27 SUR,Bogota,Colombia","CR. 1G NO.48V-27 SUR,Bogota,Colombia","(4.5896819, -74.11163119999999)"
1400,INSTITUTO COMERCIAL LORETO,DG 8 79 60,"DG 8 79 60,Bogota,Colombia","DIAGONAL 8 79 60,Bogota,Colombia","(4.5753998, -74.0787924)"
1401,COL ARIEL DAVID                                                                                     ,KR 2 A ESTE 88 16 SUR,"KR 2 A ESTE 88 16 SUR,Bogota,Colombia","CARRERA 2 A ESTE 88 16 SUR,Bogota,Colombia","(4.5055813, -74.1095787)"
1402,COL NUEVO COLOMBO AMERICANO                                                                         ,KR 73 214 53,"KR 73 214 53,Bogota,Colombia","CARRERA 73 214 53,Bogota,Colombia","(4.6243658, -74.1413287)"
1403,ATENEO INTEGRAL ANA B. DE FLOREZ                                                                    ,KR 97 20 B 11,"KR 97 20 B 11,Bogota,Colombia","CARRERA 97 20 B 11,Bogota,Colombia","(4.6735736, -74.14070370000002)"
1404,JARD INF PSICOPEDAG CARACOLES DE COLORES                                                            ,CL 64 F 73 B 18,"CL 64 F 73 B 18,Bogota,Colombia","CALLE 64 F 73 B 18,Bogota,Colombia","(4.6799525, -74.10361309999999)"
1405,JARD PEDAG PINARIN                                                                                  ,KR 94 152 93,"KR 94 152 93,Bogota,Colombia","CARRERA 94 152 93,Bogota,Colombia","(4.7501231, -74.0838825)"
1406,INST JOSE MARTINEZ RUIZ                                                                             ,CL 71 A 81 A 48,"CL 71 A 81 A 48,Bogota,Colombia","CALLE 71 A 81 A 48,Bogota,Colombia","(4.6929536, -74.1033365)"
1407,LICEO DEMOCRATICO GABRIEL GARCIA MARQUEZ,TV 126 132 B 95,"TV 126 132 B 95,Bogota,Colombia","TV 126 132 B 95,Bogota,Colombia","(4.7405782, -74.1111169)"
1408,COL PARROQ DEL INMACULADO CORAZON DE MARIA                                                          ,CL 44 SUR 28 61,"CL 44 SUR 28 61,Bogota,Colombia","CALLE 44 SUR 28 61,Bogota,Colombia","(4.5843399, -74.1277705)"
1409,GRIMM´S  KINDERGARDEN                                                                               ,CL 215 50 24,"CL 215 50 24,Bogota,Colombia","CALLE 215 50 24,Bogota,Colombia","(4.7930663, -74.04456449999999)"
1410,COL PEDAG DEL ESPIRITU SANTO COPES                                                                  ,AC 68 102 23,"AC 68 102 23,Bogota,Colombia","AC 68 102 23,Bogota,Colombia","(4.6642217, -74.0755529)"
1411,COL ACAD SANTA SOFIA                                                                                ,CL 130 100 64,"CL 130 100 64,Bogota,Colombia","CALLE 130 100 64,Bogota,Colombia","(4.736396399999999, -74.1100262)"
1412,LICEO JIMPU,KR 78 M 57 H 12 SUR,"KR 78 M 57 H 12 SUR,Bogota,Colombia","CARRERA 78 M 57 H 12 SUR,Bogota,Colombia","(4.609196, -74.1746363)"
1413,LIC CASTILLA DE ORO                                                                                 ,CL 20 SUR 63 15,"CL 20 SUR 63 15,Bogota,Colombia","CALLE 20 SUR 63 15,Bogota,Colombia","(4.5926091, -74.11036080000001)"
1414,COLEGIO MERCANTIL,CL 139 101 D 06,"CL 139 101 D 06,Bogota,Colombia","CALLE 139 101 D 06,Bogota,Colombia","(4.7405156, -74.09489549999999)"
1415,COL NAVAL SANTA FE DE BOGOTA                                                                        ,CL 66 C 66 15,"CL 66 C 66 15,Bogota,Colombia","CALLE 66 C 66 15,Bogota,Colombia","(4.6716932, -74.08841509999999)"
1416,CENT JOHANN KEPLER                                                                                  ,KR 16 61 41,"KR 16 61 41,Bogota,Colombia","CARRERA 16 61 41,Bogota,Colombia","(4.6489196, -74.0670629)"
1417,LIC  REYNEL                                                                                         ,DG 42 SUR 55 25,"DG 42 SUR 55 25,Bogota,Colombia","DIAGONAL 42 SUR 55 25,Bogota,Colombia","(4.5499293, -74.09920079999999)"
1418,COLEGIO LA ESTANCIA -  SAN ISIDRO LABRADOR (IED),CL 59 A SUR 75 B 75,"CL 59 A SUR 75 B 75,Bogota,Colombia","CALLE 59 A SUR 75 B 75,Bogota,Colombia","(4.5925879, -74.175688)"
1419,COLEGIO LAS AMERICAS (IED),KR 73 C BIS 38 C 84 SUR,"KR 73 C BIS 38 C 84 SUR,Bogota,Colombia","CARRERA 73 C BIS 38 C 84 SUR,Bogota,Colombia","(4.6170496, -74.149402)"
1420,COL DE LA PRESENTACION LAS FERIAS                                                                   ,KR 69 H 75 48,"KR 69 H 75 48,Bogota,Colombia","CARRERA 69 H 75 48,Bogota,Colombia","(4.6854091, -74.0858793)"
1421,LIC LAS COLUMNAS                                                                                    ,KR 4 A ESTE 32 A 30 SUR,"KR 4 A ESTE 32 A 30 SUR,Bogota,Colombia","CARRERA 4 A ESTE 32 A 30 SUR,Bogota,Colombia","(4.560827499999999, -74.08888379999999)"
1422,GIMN CRISTIANO LOS ANDES                                                                            ,DG 76 69 A 06,"DG 76 69 A 06,Bogota,Colombia","DIAGONAL 76 69 A 06,Bogota,Colombia","(4.6562638, -74.0501116)"
1423,INST PEDAG  MODERNO,CL 122 96 62,"CL 122 96 62,Bogota,Colombia","CALLE 122 96 62,Bogota,Colombia","(4.706940200000001, -74.0717986)"
1424,COLEGIO TECNISISTEMAS,CL 72 65 25,"CL 72 65 25,Bogota,Colombia","CALLE 72 65 25,Bogota,Colombia","(4.6753391, -74.0835201)"
1425,PREESC CASA DE LOS NIÑOS MARIA MONTESSORI                                                           ,GUAYMARAL FINCA CALICHANA CASA 9,"GUAYMARAL FINCA CALICHANA CASA 9,Bogota,Colombia","GUAYMARAL FINCARRERA CALICHANA CASA 9,Bogota,Colombia","(4.8127067, -74.0636095)"
