,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
660,COL BENPOSTA NACION DE MUCHACHOS                                                                    ,IND KM 4 VIA A CHOACHI,"IND KM 4 VIA A CHOACHI,Bogota,Colombia","IND KM 4 VIA A CHOACHI,Bogota,Colombia","(4.675752399999999, -74.02370859999999)"
661,GIMN EL HONTANAR,KR 76 150 26,"KR 76 150 26,Bogota,Colombia","CARRERA 76 150 26,Bogota,Colombia","(4.7427807, -74.0721934)"
662,BTO PARA ADULTOS COLSUBSIDIO                                                                        ,CL 83 110 58,"CL 83 110 58,Bogota,Colombia","CALLE 83 110 58,Bogota,Colombia","(4.7206777, -74.11379769999999)"
663,COLEGIO NUEVO CHILE (IED),CL 55 SUR 75 01,"CL 55 SUR 75 01,Bogota,Colombia","CALLE 55 SUR 75 01,Bogota,Colombia","(4.6443589, -74.1944415)"
664,GIMN MONTEVERDE                                                                                     ,KR 13 145 A 26,"KR 13 145 A 26,Bogota,Colombia","CARRERA 13 145 A 26,Bogota,Colombia","(4.7258354, -74.0376242)"
665,GIMNASIO PIERRE FAURE,KR 15 BIS 188 A 11,"KR 15 BIS 188 A 11,Bogota,Colombia","CARRERA 15 BIS 188 A 11,Bogota,Colombia","(4.7659627, -74.0354974)"
666,COLEGIO NUESTRA SEÑORA DE LA FELICIDAD,KR 85 8 A 36,"KR 85 8 A 36,Bogota,Colombia","CARRERA 85 8 A 36,Bogota,Colombia","(4.6458999, -74.14970939999999)"
667,COLEGIO RENE DESCARTES,CL 1 D 29 64,"CL 1 D 29 64,Bogota,Colombia","CALLE 1 D 29 64,Bogota,Colombia","(4.599265, -74.1030308)"
668,JARDIN INFANTIL LOS AMIGOS DE SNOOPY                                                                ,CL 79 B 70 D 38,"CL 79 B 70 D 38,Bogota,Colombia","CALLE 79 B 70 D 38,Bogota,Colombia","(4.6928242, -74.087069)"
669,FUND INST TECNOLOGICO DEL SUR                                                                       ,KR 29 50 04 SUR,"KR 29 50 04 SUR,Bogota,Colombia","CARRERA 29 50 04 SUR,Bogota,Colombia","(4.6032835, -74.09886879999999)"
670,GIMN INF EL MUNDO DEL SABER                                                                         ,TV 12 D 13 35 SUR,"TV 12 D 13 35 SUR,Bogota,Colombia","TV 12 D 13 35 SUR,Bogota,Colombia","(4.5849806, -74.0949038)"
671,COL DEL SANTISIMO ROSARIO                                                                           ,KR 4 9 37,"KR 4 9 37,Bogota,Colombia","CARRERA 4 9 37,Bogota,Colombia","(4.5951673, -74.0736725)"
672,GIMN FIDEL CANO                                                                                     ,CL 23 81 D 11,"CL 23 81 D 11,Bogota,Colombia","CALLE 23 81 D 11,Bogota,Colombia","(4.6658971, -74.12588699999999)"
673,COLEGIO REAL MAJESTAD,KR 105 B 129 D 89,"KR 105 B 129 D 89,Bogota,Colombia","CARRERA 105 B 129 D 89,Bogota,Colombia","(4.733215299999999, -74.1021124)"
674,INST TENERIFE                                                                                       ,CL 56 A SUR 78 51,"CL 56 A SUR 78 51,Bogota,Colombia","CALLE 56 A SUR 78 51,Bogota,Colombia","(4.608675600000001, -74.171257)"
675,LIC MAURITANIA                                                                                      ,KR 23 C 63 B 04 SUR,"KR 23 C 63 B 04 SUR,Bogota,Colombia","CARRERA 23 C 63 B 04 SUR,Bogota,Colombia","(4.6527664, -74.0714727)"
676,LIC INF CASITA ENCANTADA                                                                            ,KR 52 70 36,"KR 52 70 36,Bogota,Colombia","CARRERA 52 70 36,Bogota,Colombia","(4.6666458, -74.07678220000001)"
677,CENT EDUC DIST MIRAVALLE,DG 76 SUR 3 B 30,"DG 76 SUR 3 B 30,Bogota,Colombia","DIAGONAL 76 SUR 3 B 30,Bogota,Colombia","(4.5133503, -74.12010540000001)"
678,GIMN MARONY                                                                                         ,CL 8 BIS 70 10,"CL 8 BIS 70 10,Bogota,Colombia","CALLE 8 BIS 70 10,Bogota,Colombia","(4.6341769, -74.1304153)"
679,COLEGIO LOS PINOS (IED),DG 4 A 5 B 93 ESTE,"DG 4 A 5 B 93 ESTE,Bogota,Colombia","DIAGONAL 4 A 5 B 93 ESTE,Bogota,Colombia","(4.5876233, -74.0678463)"
680,COL MODERNO ALMIRANTE                                                                               ,CL 58 A SUR 22 J 11 SUR,"CL 58 A SUR 22 J 11 SUR,Bogota,Colombia","CALLE 58 A SUR 22 J 11 SUR,Bogota,Colombia","(4.571838899999999, -74.1449378)"
681,LIC CULT LAS AMERICAS                                                                               ,CR. 111 NO.137-14/16-44,"CR. 111 NO.137-14/16-44,Bogota,Colombia","CR. 111 NO.137-14/16-44,Bogota,Colombia","(4.7570027, -74.0967416)"
682,JARD INF MI PEQUEÑO GRAN MUNDO                                                                      ,KR 50 A 174 A 33,"KR 50 A 174 A 33,Bogota,Colombia","CARRERA 50 A 174 A 33,Bogota,Colombia","(4.755827, -74.04962499999999)"
683,NUEVO COL BUCARAMANGA                                                                               ,CL 36 15 23,"CL 36 15 23,Bogota,Colombia","CALLE 36 15 23,Bogota,Colombia","(4.6246449, -74.0706081)"
684,LIC PEDAGOGICO MENDELEV                                                                             ,DG 48 K BIS SUR 5 16,"DG 48 K BIS SUR 5 16,Bogota,Colombia","DIAGONAL 48 K BIS SUR 5 16,Bogota,Colombia","(4.558744, -74.1163684)"
685,COL CRISTIANO EL PACTO                                                                              ,CL 78 SUR 40 05,"CL 78 SUR 40 05,Bogota,Colombia","CALLE 78 SUR 40 05,Bogota,Colombia","(4.5675531, -74.1688488)"
686,COL NSTRA SRA DE LA ALEGRIA                                                                         ,TV 1 B 36 C 77 SUR,"TV 1 B 36 C 77 SUR,Bogota,Colombia","TV 1 B 36 C 77 SUR,Bogota,Colombia","(4.5110845, -74.1176523)"
687,COLEGIO GONZALO ARANGO (IED),CL 132 D 132 05,"CL 132 D 132 05,Bogota,Colombia","CALLE 132 D 132 05,Bogota,Colombia","(4.743194, -74.11370029999999)"
